 date , periode , rgdp , rgdp_g , ngdp , ngdp_g , fp_pb , fp_mb , fp_ib , fp_em , cp_whd , cp_dbt , cp_ibt , cp_ebt , dcvd1 , dcvd2 , k_cs , l , k_gfcf , p , cc , m1 , m1_g , m2 , m2_g , em , dc , cc , em_g , dc_g , cc_g , inf , birate , excrate , excrate_g 
 2012M10 , 1.00 , 100.29 ,, 127.16 ,," 453,406.52 "," 89,679,747.61 "," 514,408,870.58 "," 155,310.26 "," 120,799,477.00 "," 9,592,640.00 "," 111,078,009.00 "," 23,303,410.00 ",,,,,, 126.80 ," 16,848 ",,,,,,,,,,,,,,
 2012M11 , 2.00 , 100.29 ,0.001%, 127.17 ,0.001%," 325,777.98 "," 35,009,035.50 "," 937,186,492.94 "," 243,795.82 "," 119,983,226.00 "," 9,852,216.00 "," 112,201,256.00 "," 24,593,893.00 ",,,,,, 126.80 ," 16,359 ",,,,,,,,,,,,,,
 2012M12 , 3.00 , 100.29 ,-0.001%, 127.87 ,0.552%," 320,861.96 "," 35,003,293.50 "," 863,057,572.00 "," 246,115.78 "," 129,190,598.00 "," 10,611,644.00 "," 114,674,968.00 "," 33,362,969.00 ",,,,,, 127.50 ," 18,205 ",,,,,,,,,,,,,,
 2013M01 , 4.00 , 100.29 ,-0.003%, 137.27 ,7.354%," 467,719.98 "," 38,042,282.75 "," 1,240,383,468.08 "," 168,394.10 "," 126,794,540.00 "," 10,502,461.00 "," 121,065,731.00 "," 32,938,852.00 ", -   , -   ," 12,513,990.00 "," 112,504,868.00 "," 729,194,315,483,518.00 ", 136.88 ,"17,584"," 1,679,087.36 ",," 3,268,789.15 ",," 168,394.10 "," 10,502,461.00 "," 17,584.01 ",,,, 4.57 , 5.75 ,,
 2013M02 , 5.00 , 100.28 ,-0.005%, 138.30 ,0.747%," 351,946.83 "," 34,513,142.94 "," 1,400,413,010.00 "," 165,335.13 "," 118,641,057.00 "," 9,273,600.00 "," 110,371,660.00 "," 31,997,673.00 ", -   , -   ," 12,513,990.00 "," 115,929,612.00 "," 729,194,315,483,518.00 ", 137.91 ,"15,558"," 1,668,121.27 ",-0.653%," 3,280,420.25 ",0.356%," 165,335.13 "," 9,273,600.00 "," 15,558.10 ",-1.817%,-11.701%,-11.521%, 5.31 , 5.75 ,,
 2013M03 , 6.00 , 100.27 ,-0.008%, 139.16 ,0.622%," 381,211.34 "," 35,166,862.97 "," 636,722,660.51 "," 252,790.65 "," 134,792,089.00 "," 11,254,805.00 "," 124,491,924.00 "," 34,216,954.00 ", -   , -   ," 12,513,990.00 "," 115,929,612.00 "," 729,194,315,483,518.00 ", 138.78 ,"17,212"," 1,682,729.86 ",0.876%," 3,322,528.96 ",1.284%," 252,790.65 "," 11,254,805.00 "," 17,212.35 ",52.896%,21.364%,10.633%, 5.90 , 5.75 ,,
 2013M04 , 7.00 , 100.26 ,-0.011%, 139.00 ,-0.111%," 466,694.28 "," 39,476,495.65 "," 1,157,267,529.40 "," 219,756.59 "," 134,650,132.00 "," 11,678,682.00 "," 122,227,670.00 "," 37,573,508.00 ", -   , -   ," 12,513,990.00 "," 115,929,612.00 "," 755,712,692,907,990.00 ", 138.64 ,"18,022"," 1,716,144.93 ",1.986%," 3,360,928.07 ",1.156%," 219,756.59 "," 11,678,682.00 "," 18,021.52 ",-13.068%,3.766%,4.701%, 5.57 , 5.75 ,,
 2013M05 , 8.00 , 100.25 ,-0.012%, 138.95 ,-0.041%," 365,999.49 "," 40,685,709.30 "," 717,866,269.67 "," 214,514.69 "," 138,919,334.00 "," 12,280,588.00 "," 125,142,703.00 "," 37,965,643.00 ", -   , -   ," 12,513,990.00 "," 115,929,612.00 "," 755,712,692,907,990.00 ", 138.60 ,"18,274"," 1,708,192.13 ",-0.463%," 3,426,304.92 ",1.945%," 214,514.69 "," 12,280,588.00 "," 18,273.82 ",-2.385%,5.154%,1.400%, 5.47 , 5.75 ," 9,786.10 ",
 2013M06 , 9.00 , 100.24 ,-0.012%, 140.36 ,1.020%," 349,703.37 "," 40,760,208.52 "," 724,129,405.73 "," 250,006.19 "," 140,566,320.00 "," 12,916,043.00 "," 123,255,860.00 "," 37,205,222.00 ", -   , -   ," 12,513,990.00 "," 115,929,612.00 "," 755,712,692,907,990.00 ", 140.03 ,"17,832"," 1,747,058.56 ",2.275%," 3,413,378.66 ",-0.377%," 250,006.19 "," 12,916,043.00 "," 17,832.50 ",16.545%,5.174%,-2.415%, 5.57 , 6.00 ," 9,881.53 ",0.975%
 2013M07 , 10.00 , 100.22 ,-0.012%, 144.95 ,3.272%," 378,395.26 "," 44,589,100.56 "," 1,437,200,478.63 "," 387,170.66 "," 161,289,353.00 "," 14,374,098.00 "," 140,950,588.00 "," 44,209,865.00 ", -   , -   ," 12,513,990.00 "," 115,929,612.00 "," 777,428,287,251,468.00 ", 144.63 ,"20,618"," 1,795,198.66 ",2.755%," 3,506,573.60 ",2.730%," 387,170.66 "," 14,374,098.00 "," 20,618.32 ",54.864%,11.289%,15.622%, 5.90 , 6.50 ," 10,073.39 ",1.942%
 2013M08 , 11.00 , 100.21 ,-0.013%, 146.56 ,1.107%," 280,069.28 "," 34,320,376.92 "," 715,487,730.20 "," 279,902.39 "," 140,215,760.00 "," 12,014,847.00 "," 115,900,350.00 "," 37,711,442.00 ", -   , -   ," 12,513,990.00 "," 112,761,072.00 "," 777,428,287,251,468.00 ", 146.25 ,"17,842"," 1,769,644.95 ",-1.423%," 3,502,419.80 ",-0.118%," 279,902.39 "," 12,014,847.00 "," 17,841.95 ",-27.706%,-16.413%,-13.466%, 8.61 , 7.00 ," 10,589.12 ",5.120%
